time_since_trigger,group_id,rollback,reopen,capacity_multiplier,date_peak,crit_det_peak,rollback_fct
56,14,pr0,50perc,0,2020-12-29,867,none (0%)
50,314,pr0,50perc,0,2020-12-30,779,none (0%)
55,21,pr0,50perc,0,2020-12-31,1043,none (0%)
43,239,pr0,50perc,0,2020-12-31,723,none (0%)
53,321,pr0,50perc,0,2021-01-01,940,none (0%)
58,20,pr0,50perc,0,2021-01-02,868,none (0%)
36,37,pr0,50perc,0,2021-01-02,567,none (0%)
67,87,pr0,50perc,0,2021-01-02,1259,none (0%)
57,305,pr0,50perc,0,2021-01-02,910,none (0%)
57,305,pr0,50perc,0,2021-01-02,910,none (0%)
58,186,pr0,50perc,0,2021-01-03,1279,none (0%)
58,186,pr0,50perc,0,2021-01-03,1279,none (0%)
40,278,pr0,50perc,0,2021-01-04,687,none (0%)
57,307,pr0,50perc,0,2021-01-04,1060,none (0%)
48,172,pr0,50perc,0,2021-01-06,728,none (0%)
61,303,pr0,50perc,0,2021-01-06,967,none (0%)
59,361,pr0,50perc,0,2021-01-06,994,none (0%)
65,38,pr0,50perc,0,2021-01-07,1040,none (0%)
56,231,pr0,50perc,0,2021-01-08,853,none (0%)
70,232,pr0,50perc,0,2021-01-08,848,none (0%)
63,282,pr0,50perc,0,2021-01-08,962,none (0%)
63,282,pr0,50perc,0,2021-01-08,962,none (0%)
71,154,pr0,50perc,0,2021-01-09,1293,none (0%)
64,164,pr0,50perc,0,2021-01-09,1109,none (0%)
64,164,pr0,50perc,0,2021-01-09,1109,none (0%)
53,184,pr0,50perc,0,2021-01-09,879,none (0%)
63,330,pr0,50perc,0,2021-01-09,858,none (0%)
60,5,pr0,50perc,0,2021-01-10,971,none (0%)
55,76,pr0,50perc,0,2021-01-10,803,none (0%)
68,161,pr0,50perc,0,2021-01-10,1350,none (0%)
59,304,pr0,50perc,0,2021-01-10,932,none (0%)
53,12,pr0,50perc,0,2021-01-11,713,none (0%)
60,57,pr0,50perc,0,2021-01-11,1142,none (0%)
52,165,pr0,50perc,0,2021-01-11,722,none (0%)
62,210,pr0,50perc,0,2021-01-11,1171,none (0%)
72,246,pr0,50perc,0,2021-01-11,1430,none (0%)
63,374,pr0,50perc,0,2021-01-11,1247,none (0%)
65,59,pr0,50perc,0,2021-01-12,1247,none (0%)
48,285,pr0,50perc,0,2021-01-12,697,none (0%)
66,344,pr0,50perc,0,2021-01-12,1163,none (0%)
66,42,pr0,50perc,0,2021-01-13,852,none (0%)
56,79,pr0,50perc,0,2021-01-13,1189,none (0%)
62,122,pr0,50perc,0,2021-01-13,916,none (0%)
50,268,pr0,50perc,0,2021-01-13,668,none (0%)
61,309,pr0,50perc,0,2021-01-13,953,none (0%)
57,100,pr0,50perc,0,2021-01-14,880,none (0%)
53,170,pr0,50perc,0,2021-01-14,991,none (0%)
53,48,pr0,50perc,0,2021-01-15,929,none (0%)
61,94,pr0,50perc,0,2021-01-15,1105,none (0%)
69,123,pr0,50perc,0,2021-01-15,1323,none (0%)
66,180,pr0,50perc,0,2021-01-15,917,none (0%)
46,185,pr0,50perc,0,2021-01-15,800,none (0%)
70,293,pr0,50perc,0,2021-01-15,982,none (0%)
70,293,pr0,50perc,0,2021-01-15,982,none (0%)
52,325,pr0,50perc,0,2021-01-15,1073,none (0%)
52,326,pr0,50perc,0,2021-01-15,616,none (0%)
47,354,pr0,50perc,0,2021-01-15,561,none (0%)
54,358,pr0,50perc,0,2021-01-15,848,none (0%)
45,6,pr0,50perc,0,2021-01-16,685,none (0%)
66,83,pr0,50perc,0,2021-01-16,1082,none (0%)
