sample_num,speciesS,initialAs,N_EMS_11,time_to_infectious,time_to_symptoms,time_to_hospitalization,time_to_critical,time_to_death,time_to_detection,time_to_detection_As,time_to_detection_Sym,time_to_detection_Sys,recovery_time_asymp,recovery_time_mild,recovery_time_hosp,recovery_time_crit,fraction_symptomatic,fraction_severe,fraction_critical,cfr,reduced_inf_of_det_cases,d_Sys,d_As,d_P,d_Sys_incr1,d_Sys_incr2,d_Sys_incr3,d_Sys_incr4,d_Sys_incr5,d_Sys_incr6,d_Sys_incr7,fraction_critical_incr1,fraction_critical_incr2,fraction_critical_incr3,ki_multiplier_3a_EMS_11,ki_multiplier_3b_EMS_11,ki_multiplier_3c_EMS_11,ki_multiplier_4_EMS_11,ki_multiplier_5_EMS_11,ki_multiplier_time_4_EMS_11,ki_multiplier_time_5_EMS_11,ki_multiplier_6_EMS_11,ki_multiplier_7_EMS_11,ki_multiplier_time_6_EMS_11,ki_multiplier_time_7_EMS_11,ki_multiplier_8_EMS_11,ki_multiplier_time_8_EMS_11,d_Sym_EMS_11,d_Sym_change1_EMS_11,d_Sym_change2_EMS_11,d_Sym_change3_EMS_11,d_Sym_change4_EMS_11,d_Sym_change5_EMS_11,reopening_multiplier_4_EMS_11,d_Sym_ct1_EMS_11,Ki_EMS_11,time_infection_import_EMS_11,trigger_EMS_11,d_Sym_ct1,change_testDelay_As_1,change_testDelay_Sym_1,reduced_inf_of_det_cases_ct1,trigger_delay_days,initialAs_EMS_11,speciesS_EMS_11,Ki,startdate,ki_multiplier_time_3a,ki_multiplier_time_3b,ki_multiplier_time_3c,socialDistance_rollback_time,gradual_reopening_time1,gradual_reopening_time2,gradual_reopening_time3,gradual_reopening_time4,today,detection_time_1,detection_time_2,detection_time_3,detection_time_4,detection_time_5,detection_time_6,detection_time_7,crit_time_1,crit_time_2,crit_time_3,d_Sym_change_time_1,d_Sym_change_time_2,d_Sym_change_time_3,d_Sym_change_time_4,d_Sym_change_time_5,contact_tracing_start_1,contact_tracing_stop1,change_testDelay_time1,cfr_time_1,cfr_time_2,fraction_dead,fraction_hospitalized,scen_num,capacity_multiplier
0,12830632,10,2716921,3.771874163,3.460014838,4.340756455,5.334701765,4.659197374,2,2.623433105,7,2,7.652536396,9,4.18637023,8.904887145,0.54773085,0.085807967,0.337571525,0.011312646,0.014944811,0.008773957,0,0,0.076943967,0.096276548,0.241529636,0.362984495,0.473620587,0.684636531,0.828368231,0.152863649,0.091192399,0.080626155,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.003953583,0.028278426,0.067121243,0.175278086,0.122514865,0.2679013,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.131836783,0.530591692,1,0
1,12830632,10,2716921,3.446537142,3.340511996,5.168279168,5.128926561,5.992526864,2,3.696217813,7,2,9.739385136,9,4.792969915,8.959062885,0.620159004,0.070748988,0.218567248,0.022523123,0.013811127,0.006658966,0,0,0.046636571,0.14743976,0.196637162,0.432731558,0.5070112,0.736477863,0.823679717,0.131258551,0.074167558,0.058388828,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002671281,0.026525446,0.075776386,0.138651262,0.164176144,0.185559269,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.318352588,0.463080165,2,0
2,12830632,10,2716921,4.271677996,2.724686088,4.696946886,4.554169377,5.301201449,2,1.177011554,7,2,9.033400482,9,5.78635413,9.513346766,0.517259925,0.084719691,0.270549625,0.029362911,0.09238236,0.013185033,0,0,0.046944438,0.132260819,0.291268943,0.441656068,0.581773768,0.712704861,0.831615935,0.222462978,0.075506228,0.052539756,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.009557928,0.070451509,0.090680952,0.119511418,0.23817271,0.396085898,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.346588976,0.3828614,3,0
3,12830632,10,2716921,3.515056827,3.460112006,5.331705611,5.640636809,5.99806451,2,3.60782557,7,2,9.987162707,9,4.263693626,9.29661267,0.609003073,0.091297208,0.321204749,0.022975717,0.231811136,0.009993457,0,0,0.077172582,0.097187763,0.256161693,0.420281516,0.519041362,0.785675964,0.868237772,0.147333299,0.117294881,0.074802973,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.007936049,0.032796794,0.075323459,0.193744185,0.183906297,0.218655496,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.251658489,0.427136763,4,0
4,12830632,10,2716921,4.269391838,2.722042215,5.930400857,5.210815966,5.015760494,2,5.465375074,7,2,9.63115684,9,5.314218292,8.762254508,0.630068855,0.075133554,0.297712419,0.015043752,0.263937394,0.010555984,0,0,0.031846543,0.16071818,0.23980207,0.426504709,0.517912239,0.619081778,0.818413379,0.151913742,0.11812424,0.086436851,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.005784409,0.069762037,0.051661504,0.186059897,0.178894633,0.34817344,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.200226816,0.502060765,5,0
5,12830632,10,2716921,4.010785188,2.700810164,3.063673192,5.129915244,4.703649752,2,5.403484523,7,2,8.98532748,9,5.965417296,8.064849864,0.649892572,0.064798054,0.207745433,0.019988715,0.228381296,0.014787916,0,0,0.039735315,0.181530809,0.312963021,0.331277273,0.512456623,0.775891993,0.885978512,0.135467673,0.100593882,0.056300208,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.00671724,0.062731175,0.061989562,0.102541482,0.245449601,0.178348114,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.308477089,0.483777477,6,0
6,12830632,10,2716921,4.2887953,2.919535241,4.743629467,4.542199757,4.242090911,2,5.53282759,7,2,7.183244586,9,4.222358822,8.57780163,0.656390779,0.093568933,0.309480433,0.020734135,0.021823425,0.01548148,0,0,0.05281304,0.182970585,0.19845164,0.43455614,0.593941481,0.759169384,0.992765497,0.141115738,0.07745219,0.057085973,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.005157564,0.06331536,0.070737173,0.147571505,0.222243148,0.258811054,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.221592081,0.468927486,7,0
7,12830632,10,2716921,4.256961897,3.028224709,4.631144502,5.72208519,4.643339447,2,3.809850365,7,2,7.425494822,9,4.378491591,9.976628275,0.688591749,0.064395237,0.300529071,0.025835167,0.185644934,0.009371541,0,0,0.073675093,0.155483762,0.252788627,0.393409354,0.526461321,0.643370376,0.963952487,0.176749056,0.103430285,0.06877454,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.002157648,0.056048698,0.056443347,0.129056951,0.240779434,0.277772565,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.401196858,0.298274071,8,0
8,12830632,10,2716921,4.457602743,2.470580693,4.728904232,4.405000055,4.874828808,2,5.14648399,7,2,8.314929392,9,5.296533521,8.201832517,0.609631433,0.069657479,0.290097562,0.010373892,0.213933659,0.01210989,0,0,0.074073176,0.183050297,0.192246292,0.419918448,0.529124365,0.70457829,0.951379209,0.213927222,0.116513287,0.083122256,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.009225457,0.07674563,0.073523513,0.194526893,0.195380928,0.239489314,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.148927182,0.560975256,9,0
9,12830632,10,2716921,3.923124694,2.691849189,4.713927629,4.580144622,4.368969842,2,3.241625185,7,2,9.146522015,9,4.840907466,9.627836512,0.624945195,0.089215067,0.250508935,0.017861087,0.123048517,0.004523841,0,0,0.061619281,0.172589485,0.192623877,0.426256585,0.478927225,0.69127957,0.962108121,0.161957527,0.103632704,0.063225584,1,1,0.075,0.087,0.062,115,140,0.113,0.087,171,191,0.087,232,0.000595108,0.016219869,0.092096886,0.136114727,0.176972112,0.202778275,0.12,0.25,1.143,58,516,0.17,2,2,0.675621658,1,10,2716911,6e-08,1/1/2020,71,76,80,242,250,257,264,271,274,66,73,80,87,94,108,152,91,121,152,74,105,121,152,182,242,880,242,152,182,0.200202586,0.549288479,10,0
